"sex"	"age_group"	"level"	"variable"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Women	50+	Moderate Drinker	"alcohol_amt"	1	1	2014	2019	-0.1789	-2.1989	1.8828	0	-0.2251	0.830788
Men	20-49	Non-Drinker	"alcohol_amt"	0	0	2005	2019	2.3094	1.6398	2.9835	1	8.0177	0.000043
Men	50+	Non-Drinker	"alcohol_amt"	0	0	2005	2019	1.4861	0.8641	2.1120	1	5.5330	0.000552
Women	20-49	Non-Drinker	"alcohol_amt"	0	0	2005	2019	2.6552	2.0994	3.2140	1	11.1318	0.000004
Women	50+	Non-Drinker	"alcohol_amt"	1	0	2005	2015	-0.2309	-0.5981	0.1377	0	-1.6115	0.167989
Women	50+	Non-Drinker	"alcohol_amt"	1	1	2015	2019	-1.2996	-2.4439	-0.1419	1	-2.8837	0.034440
Men	20-49	Healthy Weight	"bmi"	1	0	1995	2002	-2.5840	-3.1306	-2.0344	1	-9.7066	0.000000
Men	20-49	Healthy Weight	"bmi"	1	1	2002	2019	0.2176	0.0700	0.3654	1	3.0760	0.005960
Men	50+	Healthy Weight	"bmi"	3	0	1995	2002	-3.4476	-4.1105	-2.7801	1	-10.9222	0.000000
Men	50+	Healthy Weight	"bmi"	3	1	2002	2006	0.4759	-2.0810	3.0997	0	0.3951	0.698754
Men	50+	Healthy Weight	"bmi"	3	2	2006	2009	-2.9733	-7.8489	2.1602	0	-1.2557	0.229782
Men	50+	Healthy Weight	"bmi"	3	3	2009	2019	-0.1230	-0.5231	0.2787	0	-0.6576	0.521434
Women	20-49	Healthy Weight	"bmi"	2	0	1995	2002	-1.6757	-1.9985	-1.3518	1	-10.8423	0.000000
Women	20-49	Healthy Weight	"bmi"	2	1	2002	2015	-0.6108	-0.7554	-0.4661	1	-8.8840	0.000000
Women	20-49	Healthy Weight	"bmi"	2	2	2015	2019	-2.0868	-2.8458	-1.3219	1	-5.7178	0.000025
Women	50+	Healthy Weight	"bmi"	3	0	1995	2000	-1.3998	-1.9837	-0.8125	1	-5.0913	0.000164
Women	50+	Healthy Weight	"bmi"	3	1	2000	2011	-0.4828	-0.6884	-0.2768	1	-5.0205	0.000187
Women	50+	Healthy Weight	"bmi"	3	2	2011	2014	2.3133	-0.3682	5.0670	0	1.8469	0.086010
Women	50+	Healthy Weight	"bmi"	3	3	2014	2019	-0.7278	-1.3156	-0.1365	1	-2.6379	0.019483
Men	20-49	Obese	"bmi"	1	0	1995	2001	6.5047	5.3312	7.6914	1	11.8643	0.000000
Men	20-49	Obese	"bmi"	1	1	2001	2019	0.7931	0.5811	1.0056	1	7.8255	0.000000
Men	50+	Obese	"bmi"	3	0	1995	1998	2.2739	0.3817	4.2018	1	2.5823	0.021710
Men	50+	Obese	"bmi"	3	1	1998	2002	5.5674	3.6143	7.5574	1	6.2225	0.000022
Men	50+	Obese	"bmi"	3	2	2002	2009	2.4044	1.7599	3.0530	1	8.0719	0.000001
Men	50+	Obese	"bmi"	3	3	2009	2019	0.5030	0.2112	0.7956	1	3.7009	0.002373
Women	20-49	Obese	"bmi"	2	0	1995	2002	4.5669	3.9634	5.1739	1	16.2771	0.000000
Women	20-49	Obese	"bmi"	2	1	2002	2013	1.0404	0.7002	1.3817	1	6.4756	0.000006
Women	20-49	Obese	"bmi"	2	2	2013	2019	3.2314	2.4783	3.9900	1	9.1642	0.000000
Women	50+	Obese	"bmi"	3	0	1995	1998	5.1696	2.8946	7.4949	1	4.9433	0.000216
Women	50+	Obese	"bmi"	3	1	1998	2010	1.2845	0.9862	1.5836	1	9.2828	0.000000
Women	50+	Obese	"bmi"	3	2	2010	2013	-1.1269	-5.3583	3.2937	0	-0.5557	0.587173
Women	50+	Obese	"bmi"	3	3	2013	2019	1.8998	1.1492	2.6560	1	5.4596	0.000084
Men	20-49	Overweight	"bmi"	2	0	1995	2011	-0.2589	-0.3657	-0.1519	1	-5.1025	0.000088
Men	20-49	Overweight	"bmi"	2	1	2011	2015	-1.7709	-3.1341	-0.3885	1	-2.6974	0.015257
Men	20-49	Overweight	"bmi"	2	2	2015	2019	0.3894	-0.4940	1.2807	0	0.9278	0.366507
Men	50+	Overweight	"bmi"	2	0	1995	1999	0.7432	-0.0928	1.5862	0	1.8748	0.078102
Men	50+	Overweight	"bmi"	2	1	1999	2007	-1.1608	-1.5082	-0.8121	1	-6.9958	0.000002
Men	50+	Overweight	"bmi"	2	2	2007	2019	-0.2409	-0.3962	-0.0853	1	-3.2656	0.004556
Women	20-49	Overweight	"bmi"	4	0	1995	2003	0.3498	0.1781	0.5218	1	4.4871	0.000920
Women	20-49	Overweight	"bmi"	4	1	2003	2009	-0.4236	-0.7726	-0.0735	1	-2.6621	0.022105
Women	20-49	Overweight	"bmi"	4	2	2009	2013	0.8142	0.0260	1.6086	1	2.2739	0.044002
Women	20-49	Overweight	"bmi"	4	3	2013	2016	-1.8778	-3.4061	-0.3253	1	-2.6579	0.022271
Women	20-49	Overweight	"bmi"	4	4	2016	2019	0.8202	0.0320	1.6147	1	2.2907	0.042726
Women	50+	Overweight	"bmi"	1	0	1995	2012	-0.4815	-0.6051	-0.3577	1	-8.0998	0.000000
Women	50+	Overweight	"bmi"	1	1	2012	2019	-1.2869	-1.7541	-0.8173	1	-5.6939	0.000014
Men	20-49	Underweight	"bmi"	1	0	1995	2015	3.1693	1.9295	4.4241	1	5.3836	0.000029
Men	20-49	Underweight	"bmi"	1	1	2015	2019	-8.6900	-20.5728	4.9706	0	-1.3602	0.188913
Men	50+	Underweight	"bmi"	2	0	1995	2010	-5.3313	-6.4593	-4.1896	1	-9.6424	0.000000
Men	50+	Underweight	"bmi"	2	1	2010	2014	11.3428	-3.3810	28.3103	0	1.5982	0.128419
Men	50+	Underweight	"bmi"	2	2	2014	2019	-5.4850	-11.2941	0.7045	0	-1.8763	0.077888
Women	20-49	Underweight	"bmi"	4	0	1995	2001	-1.5108	-3.3696	0.3838	0	-1.7585	0.106418
Women	20-49	Underweight	"bmi"	4	1	2001	2010	2.6161	1.3618	3.8860	1	4.6214	0.000739
Women	20-49	Underweight	"bmi"	4	2	2010	2013	-3.8941	-14.1393	7.5736	0	-0.7755	0.454377
Women	20-49	Underweight	"bmi"	4	3	2013	2016	10.9775	-0.8530	24.2198	0	2.0337	0.066823
Women	20-49	Underweight	"bmi"	4	4	2016	2019	-8.0464	-13.0857	-2.7148	1	-3.2758	0.007389
Women	50+	Underweight	"bmi"	3	0	1995	2000	-9.0348	-11.9677	-6.0041	1	-6.1969	0.000023
Women	50+	Underweight	"bmi"	3	1	2000	2012	0.8270	-0.1645	1.8282	0	1.7875	0.095513
Women	50+	Underweight	"bmi"	3	2	2012	2016	-12.0033	-18.2215	-5.3124	1	-3.7423	0.002186
Women	50+	Underweight	"bmi"	3	3	2016	2019	21.4142	12.8346	30.6461	1	5.6788	0.000057
Men	20-49	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.6746	-2.6302	-0.7097	1	-5.5032	0.011810
Men	50+	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-0.5282	-0.7937	-0.2620	1	-6.3063	0.008057
Women	20-49	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.1745	-1.9163	-0.4271	1	-4.9903	0.015474
Women	50+	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-0.9789	-1.4412	-0.5144	1	-6.6893	0.006815
Men	20-49	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	1.8478	0.6620	3.0475	1	4.9757	0.015600
Men	50+	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	1.4556	0.6908	2.2261	1	6.0781	0.008941
Women	20-49	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	2.1994	0.6630	3.7592	1	4.5708	0.019647
Women	50+	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	4.1185	1.9695	6.3127	1	6.1585	0.008616
Men	20-49	Current	"smoking_status"	4	0	1995	2003	-1.0370	-1.2921	-0.7812	1	-8.8892	0.000002
Men	20-49	Current	"smoking_status"	4	1	2003	2010	-2.0194	-2.4104	-1.6269	1	-11.2296	0.000000
Men	20-49	Current	"smoking_status"	4	2	2010	2013	-0.0052	-2.3429	2.3884	0	-0.0048	0.996227
Men	20-49	Current	"smoking_status"	4	3	2013	2016	-4.2680	-6.5060	-1.9764	1	-4.0583	0.001889
Men	20-49	Current	"smoking_status"	4	4	2016	2019	-1.2643	-2.4252	-0.0895	1	-2.3676	0.037308
Men	50+	Current	"smoking_status"	2	0	1995	2003	-2.6117	-3.2451	-1.9742	1	-8.5568	0.000000
Men	50+	Current	"smoking_status"	2	1	2003	2013	-1.0679	-1.6066	-0.5263	1	-4.1492	0.000671
Men	50+	Current	"smoking_status"	2	2	2013	2019	-3.7134	-4.6819	-2.7352	1	-7.8979	0.000000
Women	20-49	Current	"smoking_status"	2	0	1995	2002	-0.4787	-1.0573	0.1034	0	-1.7360	0.100643
Women	20-49	Current	"smoking_status"	2	1	2002	2011	-3.8378	-4.2946	-3.3789	1	-17.3410	0.000000
Women	20-49	Current	"smoking_status"	2	2	2011	2019	-2.2313	-2.6957	-1.7647	1	-9.9993	0.000000
Women	50+	Current	"smoking_status"	4	0	1995	1999	-1.7620	-2.5217	-0.9963	1	-5.0397	0.000378
Women	50+	Current	"smoking_status"	4	1	1999	2009	-2.8570	-3.0745	-2.6391	1	-28.4670	0.000000
Women	50+	Current	"smoking_status"	4	2	2009	2013	-1.0170	-2.2246	0.2055	0	-1.8328	0.094012
Women	50+	Current	"smoking_status"	4	3	2013	2016	-4.9021	-7.2083	-2.5385	1	-4.5061	0.000892
Women	50+	Current	"smoking_status"	4	4	2016	2019	0.3417	-0.8825	1.5810	0	0.6116	0.553259
Men	20-49	Never	"smoking_status"	2	0	1995	2009	1.3029	1.2098	1.3960	1	29.7165	0.000000
Men	20-49	Never	"smoking_status"	2	1	2009	2013	-0.5515	-1.5215	0.4281	0	-1.1903	0.250289
Men	20-49	Never	"smoking_status"	2	2	2013	2019	1.2101	0.8753	1.5461	1	7.6587	0.000001
Men	50+	Never	"smoking_status"	0	0	1995	2019	2.2666	2.1543	2.3790	1	42.1959	0.000000
Women	20-49	Never	"smoking_status"	3	0	1995	1998	0.0050	-0.9090	0.9275	0	0.0117	0.990852
Women	20-49	Never	"smoking_status"	3	1	1998	2013	1.2264	1.1393	1.3136	1	30.3678	0.000000
Women	20-49	Never	"smoking_status"	3	2	2013	2016	-0.1728	-1.9892	1.6773	0	-0.2020	0.842834
Women	20-49	Never	"smoking_status"	3	3	2016	2019	1.9199	0.9884	2.8601	1	4.4423	0.000558
Women	50+	Never	"smoking_status"	0	0	1995	2019	0.6183	0.5684	0.6682	1	25.7102	0.000000
Men	20-49	Previously	"smoking_status"	4	0	1995	1998	-0.2437	-1.4858	1.0142	0	-0.4285	0.676530
Men	20-49	Previously	"smoking_status"	4	1	1998	2003	-2.0497	-2.8228	-1.2703	1	-5.7518	0.000128
Men	20-49	Previously	"smoking_status"	4	2	2003	2008	0.0326	-0.7570	0.8285	0	0.0905	0.929518
Men	20-49	Previously	"smoking_status"	4	3	2008	2017	2.0115	1.7329	2.2908	1	16.0307	0.000000
Men	20-49	Previously	"smoking_status"	4	4	2017	2019	-3.5405	-5.9278	-1.0927	1	-3.1660	0.008983
Men	50+	Previously	"smoking_status"	2	0	1995	2010	-0.8775	-1.0049	-0.7500	1	-14.4616	0.000000
Men	50+	Previously	"smoking_status"	2	1	2010	2015	-2.3802	-3.3150	-1.4363	1	-5.2820	0.000061
Men	50+	Previously	"smoking_status"	2	2	2015	2019	-0.1140	-1.0706	0.8517	0	-0.2502	0.805434
Women	20-49	Previously	"smoking_status"	4	0	1995	2003	-0.9553	-1.3423	-0.5667	1	-5.3961	0.000218
Women	20-49	Previously	"smoking_status"	4	1	2003	2011	1.8670	1.3797	2.3566	1	8.4908	0.000004
Women	20-49	Previously	"smoking_status"	4	2	2011	2014	-0.5495	-4.0548	3.0838	0	-0.3380	0.741731
Women	20-49	Previously	"smoking_status"	4	3	2014	2017	2.0806	-1.5174	5.8100	0	1.2631	0.232663
Women	20-49	Previously	"smoking_status"	4	4	2017	2019	-6.1212	-9.4300	-2.6914	1	-3.8745	0.002588
Women	50+	Previously	"smoking_status"	1	0	1995	2010	0.3509	0.1516	0.5505	1	3.6758	0.001499
Women	50+	Previously	"smoking_status"	1	1	2010	2019	-0.2500	-0.6774	0.1792	0	-1.2163	0.238047
