"sex"	"age_group"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Women	50+	Heavy Drinker	"alcohol_amt"	2013	0.02	0.02	NA	4.4478*	1	1
Women	50+	Heavy Drinker	"alcohol_amt"	2014	0.02	0.02	NA	4.4478*	1	1
Women	50+	Heavy Drinker	"alcohol_amt"	2015	0.02	0.02	NA	4.4478*	1	1
Women	50+	Heavy Drinker	"alcohol_amt"	2016	0.02	0.02	Joinpoint 1	NA	1	1
Women	50+	Heavy Drinker	"alcohol_amt"	2017	0.02	0.02	NA	-1.2595	1	1
Women	50+	Heavy Drinker	"alcohol_amt"	2018	0.02	0.02	NA	-1.2595	1	1
Women	50+	Heavy Drinker	"alcohol_amt"	2019	0.02	0.02	NA	-1.2595	1	1
Men	20-49	Light Drinker	"alcohol_amt"	2005	0.44	0.43	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2011	0.44	0.46	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2012	0.46	0.46	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2013	0.46	0.47	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2014	0.48	0.47	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2015	0.48	0.48	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2016	0.50	0.49	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2017	0.49	0.49	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2018	0.50	0.50	NA	1.1191*	0	0
Men	20-49	Light Drinker	"alcohol_amt"	2019	0.50	0.50	NA	1.1191*	0	0
Men	50+	Light Drinker	"alcohol_amt"	2005	0.48	0.48	NA	-0.8537	1	1
Men	50+	Light Drinker	"alcohol_amt"	2011	0.46	0.46	NA	-0.8537	1	1
Men	50+	Light Drinker	"alcohol_amt"	2012	0.44	0.45	NA	-0.8537	1	1
Men	50+	Light Drinker	"alcohol_amt"	2013	0.44	0.45	Joinpoint 1	NA	1	1
Men	50+	Light Drinker	"alcohol_amt"	2014	0.45	0.45	NA	0.7661	1	1
Men	50+	Light Drinker	"alcohol_amt"	2015	0.46	0.45	NA	0.7661	1	1
Men	50+	Light Drinker	"alcohol_amt"	2016	0.47	0.46	NA	0.7661	1	1
Men	50+	Light Drinker	"alcohol_amt"	2017	0.47	0.46	NA	0.7661	1	1
Men	50+	Light Drinker	"alcohol_amt"	2018	0.47	0.46	NA	0.7661	1	1
Men	50+	Light Drinker	"alcohol_amt"	2019	0.46	0.47	NA	0.7661	1	1
Women	20-49	Light Drinker	"alcohol_amt"	2005	0.61	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2011	0.60	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2012	0.59	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2013	0.59	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2014	0.60	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2015	0.61	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2016	0.61	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2017	0.61	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2018	0.60	0.60	NA	-0.0354	0	0
Women	20-49	Light Drinker	"alcohol_amt"	2019	0.59	0.60	NA	-0.0354	0	0
Women	50+	Light Drinker	"alcohol_amt"	2005	0.61	0.61	NA	-0.5589*	1	1
Women	50+	Light Drinker	"alcohol_amt"	2011	0.59	0.59	NA	-0.5589*	1	1
Women	50+	Light Drinker	"alcohol_amt"	2012	0.58	0.58	NA	-0.5589*	1	1
Women	50+	Light Drinker	"alcohol_amt"	2013	0.58	0.58	NA	-0.5589*	1	1
Women	50+	Light Drinker	"alcohol_amt"	2014	0.58	0.58	NA	-0.5589*	1	1
Women	50+	Light Drinker	"alcohol_amt"	2015	0.57	0.57	Joinpoint 1	NA	1	1
Women	50+	Light Drinker	"alcohol_amt"	2016	0.58	0.58	NA	0.6369	1	1
Women	50+	Light Drinker	"alcohol_amt"	2017	0.58	0.58	NA	0.6369	1	1
Women	50+	Light Drinker	"alcohol_amt"	2018	0.59	0.58	NA	0.6369	1	1
Women	50+	Light Drinker	"alcohol_amt"	2019	0.58	0.59	NA	0.6369	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2005	0.37	0.37	NA	-1.0556*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2011	0.36	0.35	NA	-1.0556*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2012	0.34	0.34	Joinpoint 1	NA	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2013	0.33	0.33	NA	-2.6622*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2014	0.32	0.33	NA	-2.6622*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2015	0.31	0.32	NA	-2.6622*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2016	0.30	0.31	NA	-2.6622*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2017	0.30	0.30	NA	-2.6622*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2018	0.29	0.29	NA	-2.6622*	1	1
Men	20-49	Moderate Drinker	"alcohol_amt"	2019	0.29	0.28	NA	-2.6622*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2005	0.33	0.33	NA	0.5930	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2011	0.34	0.34	NA	0.5930	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2012	0.35	0.35	Joinpoint 1	NA	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2013	0.35	0.34	NA	-1.2679*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2014	0.34	0.34	NA	-1.2679*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2015	0.33	0.33	NA	-1.2679*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2016	0.32	0.33	NA	-1.2679*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2017	0.31	0.32	NA	-1.2679*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2018	0.32	0.32	NA	-1.2679*	1	1
Men	50+	Moderate Drinker	"alcohol_amt"	2019	0.33	0.32	NA	-1.2679*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2005	0.21	0.22	NA	-0.9889	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2011	0.21	0.20	NA	-0.9889	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2012	0.20	0.20	Joinpoint 1	NA	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2013	0.19	0.19	NA	-3.5496*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2014	0.19	0.19	NA	-3.5496*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2015	0.18	0.18	NA	-3.5496*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2016	0.17	0.17	NA	-3.5496*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2017	0.16	0.17	NA	-3.5496*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2018	0.16	0.16	NA	-3.5496*	1	1
Women	20-49	Moderate Drinker	"alcohol_amt"	2019	0.16	0.16	NA	-3.5496*	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2005	0.16	0.16	NA	1.9856*	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2011	0.17	0.18	NA	1.9856*	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2012	0.18	0.18	NA	1.9856*	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2013	0.19	0.18	NA	1.9856*	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2014	0.19	0.19	Joinpoint 1	NA	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2015	0.19	0.19	NA	-0.1789	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2016	0.19	0.19	NA	-0.1789	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2017	0.18	0.19	NA	-0.1789	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2018	0.18	0.19	NA	-0.1789	1	1
Women	50+	Moderate Drinker	"alcohol_amt"	2019	0.19	0.19	NA	-0.1789	1	1
Men	20-49	Non-Drinker	"alcohol_amt"	2005	0.12	0.12	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2011	0.12	0.13	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2012	0.14	0.14	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2013	0.14	0.14	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2014	0.14	0.14	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2015	0.15	0.15	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2016	0.15	0.15	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2017	0.16	0.15	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2018	0.16	0.16	NA	2.3094*	0	0
Men	20-49	Non-Drinker	"alcohol_amt"	2019	0.16	0.16	NA	2.3094*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2005	0.11	0.12	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2011	0.12	0.13	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2012	0.13	0.13	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2013	0.14	0.13	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2014	0.13	0.13	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2015	0.13	0.13	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2016	0.13	0.14	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2017	0.14	0.14	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2018	0.14	0.14	NA	1.4861*	0	0
Men	50+	Non-Drinker	"alcohol_amt"	2019	0.14	0.14	NA	1.4861*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2005	0.16	0.15	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2011	0.17	0.18	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2012	0.18	0.18	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2013	0.19	0.19	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2014	0.19	0.19	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2015	0.20	0.20	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2016	0.20	0.20	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2017	0.21	0.21	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2018	0.22	0.21	NA	2.6552*	0	0
Women	20-49	Non-Drinker	"alcohol_amt"	2019	0.22	0.22	NA	2.6552*	0	0
Women	50+	Non-Drinker	"alcohol_amt"	2005	0.22	0.22	NA	-0.2309	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2011	0.22	0.22	NA	-0.2309	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2012	0.22	0.22	NA	-0.2309	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2013	0.22	0.22	NA	-0.2309	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2014	0.22	0.22	NA	-0.2309	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2015	0.22	0.22	Joinpoint 1	NA	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2016	0.22	0.22	NA	-1.2996*	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2017	0.21	0.21	NA	-1.2996*	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2018	0.21	0.21	NA	-1.2996*	1	1
Women	50+	Non-Drinker	"alcohol_amt"	2019	0.21	0.21	NA	-1.2996*	1	1
Men	20-49	Healthy Weight	"bmi"	1995	0.42	0.42	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	1996	0.41	0.41	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	1997	0.40	0.40	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	1998	0.39	0.39	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	1999	0.38	0.38	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	2000	0.36	0.37	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	2001	0.36	0.36	NA	-2.5840*	1	1
Men	20-49	Healthy Weight	"bmi"	2002	0.35	0.35	Joinpoint 1	NA	1	1
Men	20-49	Healthy Weight	"bmi"	2003	0.35	0.35	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2004	0.35	0.35	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2005	0.34	0.35	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2006	0.36	0.35	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2007	0.35	0.35	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2008	0.36	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2009	0.35	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2010	0.35	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2011	0.35	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2012	0.36	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2013	0.36	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2014	0.36	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2015	0.37	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2016	0.36	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2017	0.37	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2018	0.36	0.36	NA	0.2176*	1	1
Men	20-49	Healthy Weight	"bmi"	2019	0.36	0.36	NA	0.2176*	1	1
Men	50+	Healthy Weight	"bmi"	1995	0.29	0.29	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	1996	0.29	0.28	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	1997	0.27	0.27	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	1998	0.27	0.26	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	1999	0.25	0.26	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	2000	0.25	0.25	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	2001	0.24	0.24	NA	-3.4476*	3	3
Men	50+	Healthy Weight	"bmi"	2002	0.23	0.23	Joinpoint 1	NA	3	3
Men	50+	Healthy Weight	"bmi"	2003	0.23	0.23	NA	0.4759	3	3
Men	50+	Healthy Weight	"bmi"	2004	0.23	0.23	NA	0.4759	3	3
Men	50+	Healthy Weight	"bmi"	2005	0.23	0.23	NA	0.4759	3	3
Men	50+	Healthy Weight	"bmi"	2006	0.24	0.23	Joinpoint 2	NA	3	3
Men	50+	Healthy Weight	"bmi"	2007	0.23	0.23	NA	-2.9733	3	3
Men	50+	Healthy Weight	"bmi"	2008	0.22	0.22	NA	-2.9733	3	3
Men	50+	Healthy Weight	"bmi"	2009	0.21	0.21	Joinpoint 3	NA	3	3
Men	50+	Healthy Weight	"bmi"	2010	0.21	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2011	0.22	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2012	0.22	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2013	0.21	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2014	0.21	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2015	0.21	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2016	0.22	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2017	0.22	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2018	0.21	0.21	NA	-0.1230	3	3
Men	50+	Healthy Weight	"bmi"	2019	0.21	0.21	NA	-0.1230	3	3
Women	20-49	Healthy Weight	"bmi"	1995	0.54	0.54	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	1996	0.53	0.53	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	1997	0.52	0.52	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	1998	0.52	0.52	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	1999	0.51	0.51	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	2000	0.50	0.50	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	2001	0.49	0.49	NA	-1.6757*	2	2
Women	20-49	Healthy Weight	"bmi"	2002	0.48	0.48	Joinpoint 1	NA	2	2
Women	20-49	Healthy Weight	"bmi"	2003	0.47	0.48	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2004	0.47	0.48	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2005	0.47	0.47	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2006	0.47	0.47	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2007	0.47	0.47	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2008	0.47	0.47	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2009	0.47	0.46	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2010	0.46	0.46	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2011	0.46	0.46	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2012	0.45	0.45	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2013	0.45	0.45	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2014	0.44	0.45	NA	-0.6108*	2	2
Women	20-49	Healthy Weight	"bmi"	2015	0.45	0.45	Joinpoint 2	NA	2	2
Women	20-49	Healthy Weight	"bmi"	2016	0.43	0.44	NA	-2.0868*	2	2
Women	20-49	Healthy Weight	"bmi"	2017	0.43	0.43	NA	-2.0868*	2	2
Women	20-49	Healthy Weight	"bmi"	2018	0.41	0.42	NA	-2.0868*	2	2
Women	20-49	Healthy Weight	"bmi"	2019	0.42	0.41	NA	-2.0868*	2	2
Women	50+	Healthy Weight	"bmi"	1995	0.34	0.34	NA	-1.3998*	3	3
Women	50+	Healthy Weight	"bmi"	1996	0.34	0.34	NA	-1.3998*	3	3
Women	50+	Healthy Weight	"bmi"	1997	0.33	0.33	NA	-1.3998*	3	3
Women	50+	Healthy Weight	"bmi"	1998	0.33	0.33	NA	-1.3998*	3	3
Women	50+	Healthy Weight	"bmi"	1999	0.32	0.32	NA	-1.3998*	3	3
Women	50+	Healthy Weight	"bmi"	2000	0.31	0.32	Joinpoint 1	NA	3	3
Women	50+	Healthy Weight	"bmi"	2001	0.31	0.32	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2002	0.32	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2003	0.32	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2004	0.31	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2005	0.31	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2006	0.31	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2007	0.31	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2008	0.31	0.31	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2009	0.30	0.30	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2010	0.30	0.30	NA	-0.4828*	3	3
Women	50+	Healthy Weight	"bmi"	2011	0.30	0.30	Joinpoint 2	NA	3	3
Women	50+	Healthy Weight	"bmi"	2012	0.31	0.31	NA	2.3133	3	3
Women	50+	Healthy Weight	"bmi"	2013	0.32	0.32	NA	2.3133	3	3
Women	50+	Healthy Weight	"bmi"	2014	0.32	0.32	Joinpoint 3	NA	3	3
Women	50+	Healthy Weight	"bmi"	2015	0.32	0.32	NA	-0.7278*	3	3
Women	50+	Healthy Weight	"bmi"	2016	0.32	0.32	NA	-0.7278*	3	3
Women	50+	Healthy Weight	"bmi"	2017	0.31	0.32	NA	-0.7278*	3	3
Women	50+	Healthy Weight	"bmi"	2018	0.31	0.31	NA	-0.7278*	3	3
Women	50+	Healthy Weight	"bmi"	2019	0.31	0.31	NA	-0.7278*	3	3
Men	20-49	Obese	"bmi"	1995	0.14	0.14	NA	6.5047*	1	1
Men	20-49	Obese	"bmi"	1996	0.15	0.15	NA	6.5047*	1	1
Men	20-49	Obese	"bmi"	1997	0.15	0.16	NA	6.5047*	1	1
Men	20-49	Obese	"bmi"	1998	0.17	0.17	NA	6.5047*	1	1
Men	20-49	Obese	"bmi"	1999	0.18	0.18	NA	6.5047*	1	1
Men	20-49	Obese	"bmi"	2000	0.19	0.19	NA	6.5047*	1	1
Men	20-49	Obese	"bmi"	2001	0.20	0.20	Joinpoint 1	NA	1	1
Men	20-49	Obese	"bmi"	2002	0.20	0.20	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2003	0.21	0.21	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2004	0.21	0.21	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2005	0.21	0.21	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2006	0.21	0.21	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2007	0.21	0.21	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2008	0.20	0.21	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2009	0.21	0.22	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2010	0.21	0.22	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2011	0.22	0.22	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2012	0.22	0.22	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2013	0.22	0.22	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2014	0.23	0.22	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2015	0.22	0.23	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2016	0.23	0.23	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2017	0.23	0.23	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2018	0.23	0.23	NA	0.7931*	1	1
Men	20-49	Obese	"bmi"	2019	0.23	0.23	NA	0.7931*	1	1
Men	50+	Obese	"bmi"	1995	0.20	0.20	NA	2.2739*	3	3
Men	50+	Obese	"bmi"	1996	0.20	0.20	NA	2.2739*	3	3
Men	50+	Obese	"bmi"	1997	0.21	0.21	NA	2.2739*	3	3
Men	50+	Obese	"bmi"	1998	0.21	0.21	Joinpoint 1	NA	3	3
Men	50+	Obese	"bmi"	1999	0.22	0.22	NA	5.5674*	3	3
Men	50+	Obese	"bmi"	2000	0.23	0.24	NA	5.5674*	3	3
Men	50+	Obese	"bmi"	2001	0.25	0.25	NA	5.5674*	3	3
Men	50+	Obese	"bmi"	2002	0.26	0.26	Joinpoint 2	NA	3	3
Men	50+	Obese	"bmi"	2003	0.27	0.27	NA	2.4044*	3	3
Men	50+	Obese	"bmi"	2004	0.27	0.28	NA	2.4044*	3	3
Men	50+	Obese	"bmi"	2005	0.28	0.28	NA	2.4044*	3	3
