"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
All	Women	2	Moderate Drinker	"alcohol_amt"	1	0	2011	2017	-3.9256	-5.2383	-2.5946	1	-8.0817	0.001274
All	Women	2	Moderate Drinker	"alcohol_amt"	1	1	2017	2019	8.2982	-0.1674	17.4817	0	2.7193	0.053025
All	Women	3	Moderate Drinker	"alcohol_amt"	0	0	2011	2019	-1.1821	-2.0658	-0.2903	1	-3.1298	0.016615
All	Women	4	Moderate Drinker	"alcohol_amt"	0	0	2011	2019	-2.1221	-3.4260	-0.8007	1	-3.7820	0.006874
All	Women	5	Moderate Drinker	"alcohol_amt"	0	0	2011	2019	-0.8403	-1.4960	-0.1803	1	-3.0079	0.019721
All	Men	1	Non-Drinker	"alcohol_amt"	1	0	2011	2014	-1.3000	-7.2091	4.9855	0	-0.5885	0.587848
All	Men	1	Non-Drinker	"alcohol_amt"	1	1	2014	2019	3.2917	0.4789	6.1833	1	3.2569	0.031173
All	Men	2	Non-Drinker	"alcohol_amt"	0	0	2011	2019	0.2015	-0.8653	1.2798	0	0.4447	0.669952
All	Men	3	Non-Drinker	"alcohol_amt"	1	0	2011	2015	5.8379	3.4924	8.2365	1	7.0294	0.002158
All	Men	3	Non-Drinker	"alcohol_amt"	1	1	2015	2019	2.5085	0.2369	4.8317	1	3.0695	0.037310
All	Men	4	Non-Drinker	"alcohol_amt"	0	0	2011	2019	2.7116	1.7652	3.6667	1	6.8347	0.000245
All	Men	5	Non-Drinker	"alcohol_amt"	0	0	2011	2019	-0.7280	-1.9528	0.5121	0	-1.3916	0.206652
All	Women	1	Non-Drinker	"alcohol_amt"	0	0	2011	2019	2.4174	1.6172	3.2238	1	7.2011	0.000177
All	Women	2	Non-Drinker	"alcohol_amt"	1	0	2011	2017	1.9138	0.5049	3.3425	1	3.7809	0.019421
All	Women	2	Non-Drinker	"alcohol_amt"	1	1	2017	2019	-7.3150	-14.6426	0.6416	0	-2.5608	0.062582
All	Women	3	Non-Drinker	"alcohol_amt"	1	0	2011	2017	0.3056	-1.6224	2.2715	0	0.4365	0.684978
All	Women	3	Non-Drinker	"alcohol_amt"	1	1	2017	2019	4.8854	-6.4922	17.6474	0	1.1533	0.312998
All	Women	4	Non-Drinker	"alcohol_amt"	1	0	2011	2015	-0.9193	-2.4429	0.6281	0	-1.6547	0.173323
All	Women	4	Non-Drinker	"alcohol_amt"	1	1	2015	2019	2.0129	0.4442	3.6060	1	3.5705	0.023366
All	Women	5	Non-Drinker	"alcohol_amt"	1	0	2011	2016	-1.2087	-2.2833	-0.1223	1	-3.0870	0.036680
All	Women	5	Non-Drinker	"alcohol_amt"	1	1	2016	2019	1.5555	-0.8980	4.0697	0	1.7523	0.154598
All	Men	1	Healthy Weight	"bmi"	2	0	2001	2006	0.8695	0.0807	1.6644	1	2.4272	0.033573
All	Men	1	Healthy Weight	"bmi"	2	1	2006	2009	-2.5734	-5.9344	0.9077	0	-1.6345	0.130424
All	Men	1	Healthy Weight	"bmi"	2	2	2009	2019	0.8464	0.5712	1.1224	1	6.7876	0.000030
All	Men	2	Healthy Weight	"bmi"	2	0	2001	2009	-1.4225	-2.0176	-0.8238	1	-5.2080	0.000291
All	Men	2	Healthy Weight	"bmi"	2	1	2009	2017	1.1945	0.4469	1.9477	1	3.5243	0.004762
All	Men	2	Healthy Weight	"bmi"	2	2	2017	2019	-2.4187	-7.6864	3.1496	0	-0.9711	0.352380
All	Men	3	Healthy Weight	"bmi"	3	0	2001	2006	0.3827	-0.4439	1.2161	0	1.0653	0.317837
All	Men	3	Healthy Weight	"bmi"	3	1	2006	2014	-1.5143	-1.9997	-1.0265	1	-7.1214	0.000100
All	Men	3	Healthy Weight	"bmi"	3	2	2014	2017	5.9919	2.1444	9.9844	1	3.6293	0.006692
All	Men	3	Healthy Weight	"bmi"	3	3	2017	2019	-3.9134	-7.4013	-0.2941	1	-2.4897	0.037541
All	Men	4	Healthy Weight	"bmi"	1	0	2001	2010	1.3158	0.5926	2.0441	1	3.9141	0.001558
All	Men	4	Healthy Weight	"bmi"	1	1	2010	2019	-1.6926	-2.3942	-0.9859	1	-5.1115	0.000158
All	Men	5	Healthy Weight	"bmi"	1	0	2001	2013	-0.0734	-0.8352	0.6943	0	-0.2057	0.840016
All	Men	5	Healthy Weight	"bmi"	1	1	2013	2019	-2.8890	-4.9905	-0.7410	1	-2.8740	0.012256
All	Women	1	Healthy Weight	"bmi"	2	0	2001	2010	-1.0090	-1.2935	-0.7236	1	-7.7532	0.000009
All	Women	1	Healthy Weight	"bmi"	2	1	2010	2013	2.3829	-0.7954	5.6630	0	1.6436	0.128499
All	Women	1	Healthy Weight	"bmi"	2	2	2013	2019	-0.9288	-1.4555	-0.3993	1	-3.8532	0.002685
All	Women	2	Healthy Weight	"bmi"	2	0	2001	2004	-3.3135	-5.3987	-1.1824	1	-3.4017	0.005911
All	Women	2	Healthy Weight	"bmi"	2	1	2004	2008	3.8336	1.5942	6.1223	1	3.7977	0.002955
All	Women	2	Healthy Weight	"bmi"	2	2	2008	2019	-1.1872	-1.4773	-0.8963	1	-8.9417	0.000002
All	Women	3	Healthy Weight	"bmi"	2	0	2001	2005	-1.7941	-3.0086	-0.5645	1	-3.2022	0.008421
All	Women	3	Healthy Weight	"bmi"	2	1	2005	2016	-0.5586	-0.8628	-0.2536	1	-4.0250	0.001999
All	Women	3	Healthy Weight	"bmi"	2	2	2016	2019	-3.8055	-5.6796	-1.8941	1	-4.3402	0.001174
All	Women	4	Healthy Weight	"bmi"	3	0	2001	2005	0.7992	-2.3100	4.0074	0	0.5859	0.574122
All	Women	4	Healthy Weight	"bmi"	3	1	2005	2010	-3.6190	-6.5920	-0.5515	1	-2.7130	0.026534
All	Women	4	Healthy Weight	"bmi"	3	2	2010	2013	4.7411	-5.1390	15.6502	0	1.0781	0.312421
All	Women	4	Healthy Weight	"bmi"	3	3	2013	2019	-1.3464	-2.9848	0.3197	0	-1.8664	0.098948
All	Women	5	Healthy Weight	"bmi"	2	0	2001	2006	0.8062	-0.4613	2.0899	0	1.3967	0.190035
All	Women	5	Healthy Weight	"bmi"	2	1	2006	2013	-2.4333	-3.3620	-1.4955	1	-5.6683	0.000145
All	Women	5	Healthy Weight	"bmi"	2	2	2013	2019	-0.5103	-1.4574	0.4459	0	-1.1772	0.263956
All	Men	1	Obese	"bmi"	1	0	2001	2017	1.3408	1.0377	1.6449	1	9.5354	0.000000
All	Men	1	Obese	"bmi"	1	1	2017	2019	-5.1492	-12.2773	2.5580	0	-1.4513	0.168721
All	Men	2	Obese	"bmi"	3	0	2001	2004	-2.2550	-4.7734	0.3300	0	-2.0150	0.078670
All	Men	2	Obese	"bmi"	3	1	2004	2009	3.3859	1.6931	5.1068	1	4.6512	0.001642
All	Men	2	Obese	"bmi"	3	2	2009	2012	-3.8198	-8.7121	1.3347	0	-1.7203	0.123684
All	Men	2	Obese	"bmi"	3	3	2012	2019	1.6612	0.9545	2.3729	1	5.4460	0.000612
All	Men	3	Obese	"bmi"	1	0	2001	2014	2.0605	1.6845	2.4379	1	11.8519	0.000000
All	Men	3	Obese	"bmi"	1	1	2014	2019	-0.9795	-2.5264	0.5920	0	-1.3408	0.201349
All	Men	4	Obese	"bmi"	2	0	2001	2005	4.7619	2.2476	7.3380	1	4.2148	0.001449
All	Men	4	Obese	"bmi"	2	1	2005	2008	-2.4892	-9.6996	5.2969	0	-0.7222	0.485238
All	Men	4	Obese	"bmi"	2	2	2008	2019	1.2132	0.6903	1.7388	1	5.1245	0.000331
All	Men	5	Obese	"bmi"	1	0	2001	2015	1.5307	1.2310	1.8314	1	11.0199	0.000000
All	Men	5	Obese	"bmi"	1	1	2015	2019	4.0727	2.0176	6.1691	1	4.2930	0.000744
All	Women	1	Obese	"bmi"	3	0	2001	2007	2.5507	1.4669	3.6461	1	5.4667	0.000597
All	Women	1	Obese	"bmi"	3	1	2007	2012	-2.3062	-4.2289	-0.3449	1	-2.7068	0.026790
All	Women	1	Obese	"bmi"	3	2	2012	2017	3.7618	1.7197	5.8449	1	4.2841	0.002673
All	Women	1	Obese	"bmi"	3	3	2017	2019	-0.6225	-6.6768	5.8246	0	-0.2291	0.824559
All	Women	2	Obese	"bmi"	1	0	2001	2009	-0.6049	-1.4690	0.2668	0	-1.4903	0.158316
All	Women	2	Obese	"bmi"	1	1	2009	2019	1.8497	1.2171	2.4862	1	6.3096	0.000019
All	Women	3	Obese	"bmi"	0	0	2001	2019	1.8165	1.5342	2.0995	1	13.6823	0.000000
All	Women	4	Obese	"bmi"	3	0	2001	2009	2.6512	2.1596	3.1451	1	12.5696	0.000002
All	Women	4	Obese	"bmi"	3	1	2009	2013	-1.8720	-4.0071	0.3106	0	-1.9810	0.082925
All	Women	4	Obese	"bmi"	3	2	2013	2017	3.4436	1.1928	5.7444	1	3.5490	0.007521
All	Women	4	Obese	"bmi"	3	3	2017	2019	-2.7148	-6.9022	1.6611	0	-1.4426	0.187130
All	Women	5	Obese	"bmi"	3	0	2001	2005	-0.1291	-1.9193	1.6937	0	-0.1648	0.873225
All	Women	5	Obese	"bmi"	3	1	2005	2009	3.7214	0.7970	6.7306	1	2.9461	0.018535
All	Women	5	Obese	"bmi"	3	2	2009	2014	0.7743	-1.0321	2.6137	0	0.9834	0.354211
All	Women	5	Obese	"bmi"	3	3	2014	2019	2.9448	1.6365	4.2699	1	5.2327	0.000790
All	Men	1	Overweight	"bmi"	1	0	2001	2017	-0.6731	-0.8736	-0.4722	1	-7.1698	0.000005
All	Men	1	Overweight	"bmi"	1	1	2017	2019	1.9140	-3.3162	7.4271	0	0.7718	0.453043
All	Men	2	Overweight	"bmi"	2	0	2001	2013	0.0865	-0.1411	0.3145	0	0.8359	0.421022
All	Men	2	Overweight	"bmi"	2	1	2013	2017	-1.9817	-3.8500	-0.0771	1	-2.2892	0.042838
All	Men	2	Overweight	"bmi"	2	2	2017	2019	1.3840	-2.4441	5.3623	0	0.7860	0.448469
All	Men	3	Overweight	"bmi"	3	0	2001	2006	-1.6540	-2.4089	-0.8933	1	-4.9912	0.001064
All	Men	3	Overweight	"bmi"	3	1	2006	2012	0.4235	-0.3474	1.2003	0	1.2647	0.241576
All	Men	3	Overweight	"bmi"	3	2	2012	2016	-2.5902	-4.2542	-0.8972	1	-3.5121	0.007937
All	Men	3	Overweight	"bmi"	3	3	2016	2019	1.0971	-0.6300	2.8541	0	1.4602	0.182358
All	Men	4	Overweight	"bmi"	2	0	2001	2003	-4.7692	-7.7652	-1.6758	1	-3.3646	0.006313
All	Men	4	Overweight	"bmi"	2	1	2003	2012	-1.0829	-1.4273	-0.7373	1	-6.8707	0.000027
All	Men	4	Overweight	"bmi"	2	2	2012	2019	1.1599	0.7287	1.5930	1	5.9420	0.000097
All	Men	5	Overweight	"bmi"	1	0	2001	2006	-2.0858	-3.4343	-0.7183	1	-3.2597	0.005702
All	Men	5	Overweight	"bmi"	1	1	2006	2019	-0.1926	-0.5165	0.1324	0	-1.2717	0.224195
All	Women	1	Overweight	"bmi"	2	0	2001	2012	0.5002	0.2047	0.7967	1	3.7289	0.003330
All	Women	1	Overweight	"bmi"	2	1	2012	2015	-3.0070	-7.1530	1.3243	0	-1.5382	0.152257
All	Women	1	Overweight	"bmi"	2	2	2015	2019	0.1733	-1.2011	1.5668	0	0.2758	0.787786
All	Women	2	Overweight	"bmi"	2	0	2001	2004	3.8538	0.1471	7.6978	1	2.2900	0.042780
All	Women	2	Overweight	"bmi"	2	1	2004	2007	-4.5941	-11.2831	2.5992	0	-1.4240	0.182186
All	Women	2	Overweight	"bmi"	2	2	2007	2019	0.1118	-0.3175	0.5431	0	0.5724	0.578553
All	Women	3	Overweight	"bmi"	0	0	2001	2019	-0.2763	-0.4514	-0.1010	1	-3.3234	0.004021
All	Women	4	Overweight	"bmi"	3	0	2001	2005	-3.1940	-4.6947	-1.6696	1	-4.7910	0.001371
All	Women	4	Overweight	"bmi"	3	1	2005	2010	2.2948	0.7089	3.9056	1	3.3486	0.010101
All	Women	4	Overweight	"bmi"	3	2	2010	2014	-2.9782	-5.3457	-0.5515	1	-2.8223	0.022416
All	Women	4	Overweight	"bmi"	3	3	2014	2019	-0.0210	-1.1195	1.0897	0	-0.0439	0.966071
All	Women	5	Overweight	"bmi"	3	0	2001	2009	-1.5366	-2.1638	-0.9055	1	-5.5890	0.000517
All	Women	5	Overweight	"bmi"	3	1	2009	2014	2.2171	0.3417	4.1277	1	2.7308	0.025816
All	Women	5	Overweight	"bmi"	3	2	2014	2017	-4.4817	-9.9146	1.2789	0	-1.8056	0.108622
All	Women	5	Overweight	"bmi"	3	3	2017	2019	-0.0938	-5.7762	5.9314	0	-0.0369	0.971438
All	Men	1	Underweight	"bmi"	2	0	2001	2011	-7.4963	-11.1155	-3.7297	1	-4.2972	0.001262
All	Men	1	Underweight	"bmi"	2	1	2011	2014	43.5211	-14.0458	139.6428	0	1.5512	0.149135
All	Men	1	Underweight	"bmi"	2	2	2014	2019	-13.2111	-22.6111	-2.6692	1	-2.7204	0.019916
All	Men	2	Underweight	"bmi"	0	0	2001	2019	3.6324	0.7271	6.6215	1	2.6600	0.017115
All	Men	3	Underweight	"bmi"	1	0	2001	2008	7.9425	-4.3107	21.7648	0	1.3604	0.195190
All	Men	3	Underweight	"bmi"	1	1	2008	2019	-6.3983	-11.9190	-0.5316	1	-2.3328	0.035091
All	Men	4	Underweight	"bmi"	3	0	2001	2003	9.0706	-24.9546	58.5225	0	0.5355	0.606875
All	Men	4	Underweight	"bmi"	3	1	2003	2006	-23.6403	-47.4611	10.9808	0	-1.6634	0.134795
All	Men	4	Underweight	"bmi"	3	2	2006	2009	47.4386	1.4444	114.2864	1	2.3944	0.043552
All	Men	4	Underweight	"bmi"	3	3	2009	2019	-3.4516	-6.2214	-0.6000	1	-2.7827	0.023824
All	Men	5	Underweight	"bmi"	2	0	2001	2005	-9.5890	-21.7975	4.5253	0	-1.5295	0.154384
All	Men	5	Underweight	"bmi"	2	1	2005	2009	17.8974	-6.2671	48.2916	0	1.5799	0.142429
All	Men	5	Underweight	"bmi"	2	2	2009	2019	-6.6475	-9.9225	-3.2535	1	-4.2395	0.001390
All	Women	1	Underweight	"bmi"	3	0	2001	2009	5.9056	3.5549	8.3097	1	5.8947	0.000364
All	Women	1	Underweight	"bmi"	3	1	2009	2012	-16.2037	-31.7850	2.9365	0	-1.9816	0.082846
All	Women	1	Underweight	"bmi"	3	2	2012	2016	9.1442	-1.5245	20.9687	0	1.9616	0.085447
All	Women	1	Underweight	"bmi"	3	3	2016	2019	-2.7815	-12.2845	7.7510	0	-0.6324	0.544765
All	Women	2	Underweight	"bmi"	0	0	2001	2019	0.3577	-0.7514	1.4791	0	0.6779	0.506985
All	Women	3	Underweight	"bmi"	2	0	2001	2006	-10.9917	-18.4264	-2.8795	1	-2.9383	0.013490
All	Women	3	Underweight	"bmi"	2	1	2006	2009	16.6625	-21.0187	72.3210	0	0.8696	0.403100
All	Women	3	Underweight	"bmi"	2	2	2009	2019	-1.1186	-4.0762	1.9303	0	-0.8153	0.432205
All	Women	4	Underweight	"bmi"	0	0	2001	2019	2.1272	0.8832	3.3866	1	3.6236	0.002099
All	Women	5	Underweight	"bmi"	1	0	2001	2003	23.4710	-9.0019	67.5318	0	1.4818	0.160548
All	Women	5	Underweight	"bmi"	1	1	2003	2019	-1.2630	-2.4118	-0.1007	1	-2.3295	0.035315
All	Men	1	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.6914	-2.4703	-0.9062	1	-6.8241	0.006438
All	Men	2	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.1117	-1.9172	-0.2995	1	-4.3497	0.022442
All	Men	3	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-0.6299	-0.9385	-0.3204	1	-6.4663	0.007504
All	Men	4	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.3921	-2.2594	-0.5172	1	-5.0504	0.014975
All	Men	5	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-0.0683	-0.2528	0.1166	0	-1.1761	0.324394
All	Women	1	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.4619	-1.9661	-0.9551	1	-9.1366	0.002771
All	Women	2	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.2812	-1.9213	-0.6369	1	-6.3084	0.008049
All	Women	3	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-0.6989	-1.0843	-0.3121	1	-5.7411	0.010495
All	Women	4	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-1.0795	-1.8495	-0.3036	1	-4.4207	0.021492
All	Women	5	Below Recommendations	"physical_activity_old"	0	0	2003	2012	-0.7292	-1.1550	-0.3015	1	-5.4182	0.012333
All	Men	1	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	3.0782	1.4003	4.7839	1	5.8790	0.009819
All	Men	2	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	1.7871	0.4011	3.1923	1	4.1115	0.026058
All	Men	3	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	0.9093	0.4329	1.3881	1	6.0867	0.008905
All	Men	4	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	1.9827	0.6355	3.3479	1	4.6985	0.018236
All	Men	5	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	0.1222	-0.2089	0.4544	0	1.1732	0.325400
All	Women	1	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	3.6794	2.1301	5.2523	1	7.6375	0.004661
All	Women	2	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	3.2560	1.3839	5.1627	1	5.5730	0.011403
All	Women	3	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	1.7292	0.7016	2.7672	1	5.3742	0.012615
All	Women	4	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	2.8590	0.6427	5.1241	1	4.1185	0.025941
All	Women	5	Meets Recommendations	"physical_activity_old"	0	0	2003	2012	2.1539	0.7907	3.5355	1	5.0480	0.014994
All	Men	1	Current	"smoking_status"	0	0	2001	2019	-2.9421	-3.2606	-2.6225	1	-19.1658	0.000000
All	Men	2	Current	"smoking_status"	2	0	2001	2012	-1.1436	-1.5819	-0.7034	1	-5.6978	0.000139
All	Men	2	Current	"smoking_status"	2	1	2012	2015	-6.5796	-12.5378	-0.2154	1	-2.2730	0.044074
All	Men	2	Current	"smoking_status"	2	2	2015	2019	-1.4176	-3.4509	0.6584	0	-1.5079	0.159758
All	Men	3	Current	"smoking_status"	1	0	2001	2003	6.7770	-7.1834	22.8372	0	1.0037	0.332547
All	Men	3	Current	"smoking_status"	1	1	2003	2019	-2.4426	-2.9654	-1.9170	1	-9.8709	0.000000
All	Men	4	Current	"smoking_status"	2	0	2001	2005	1.8178	0.2261	3.4349	1	2.5165	0.028654
All	Men	4	Current	"smoking_status"	2	1	2005	2014	-1.8479	-2.3800	-1.3128	1	-7.5511	0.000011
All	Men	4	Current	"smoking_status"	2	2	2014	2019	-4.7792	-5.8343	-3.7124	1	-9.6743	0.000001
All	Men	5	Current	"smoking_status"	1	0	2001	2012	-0.0321	-0.4988	0.4368	0	-0.1471	0.885173
All	Men	5	Current	"smoking_status"	1	1	2012	2019	-3.2321	-4.1255	-2.3303	1	-7.5968	0.000002
All	Women	1	Current	"smoking_status"	2	0	2001	2004	-1.9448	-6.1079	2.4030	0	-0.9963	0.340497
All	Women	1	Current	"smoking_status"	2	1	2004	2012	-6.1084	-7.1908	-5.0134	1	-11.9643	0.000000
All	Women	1	Current	"smoking_status"	2	2	2012	2019	-2.6715	-3.7935	-1.5364	1	-5.1400	0.000323
All	Women	2	Current	"smoking_status"	0	0	2001	2019	-3.4434	-3.6575	-3.2290	1	-33.3189	0.000000
All	Women	3	Current	"smoking_status"	2	0	2001	2010	-2.2607	-3.0329	-1.4824	1	-6.3454	0.000055
All	Women	3	Current	"smoking_status"	2	1	2010	2013	-6.8042	-14.5598	1.6555	0	-1.7850	0.101823
All	Women	3	Current	"smoking_status"	2	2	2013	2019	-2.4117	-3.8345	-0.9679	1	-3.6586	0.003764
All	Women	4	Current	"smoking_status"	0	0	2001	2019	-2.6947	-2.9481	-2.4407	1	-22.1059	0.000000
All	Women	5	Current	"smoking_status"	3	0	2001	2004	3.3134	0.6595	6.0373	1	2.8885	0.020245
All	Women	5	Current	"smoking_status"	3	1	2004	2009	-3.7996	-5.3700	-2.2032	1	-5.4274	0.000625
All	Women	5	Current	"smoking_status"	3	2	2009	2012	0.2651	-4.8199	5.6217	0	0.1173	0.909523
All	Women	5	Current	"smoking_status"	3	3	2012	2019	-2.3510	-3.0278	-1.6695	1	-7.8880	0.000048
All	Men	1	Never	"smoking_status"	3	0	2001	2009	2.3359	2.0912	2.5812	1	22.2426	0.000000
All	Men	1	Never	"smoking_status"	3	1	2009	2013	-0.4359	-1.5222	0.6623	0	-0.9184	0.385272
All	Men	1	Never	"smoking_status"	3	2	2013	2016	1.5320	-0.6714	3.7843	0	1.5980	0.148718
All	Men	1	Never	"smoking_status"	3	3	2016	2019	0.0164	-1.0748	1.1196	0	0.0345	0.973352
All	Men	2	Never	"smoking_status"	3	0	2001	2007	1.5253	0.9451	2.1088	1	6.0908	0.000292
All	Men	2	Never	"smoking_status"	3	1	2007	2010	-0.8458	-4.1513	2.5737	0	-0.5777	0.579363
All	Men	2	Never	"smoking_status"	3	2	2010	2015	2.8058	1.7094	3.9140	1	5.9514	0.000341
All	Men	2	Never	"smoking_status"	3	3	2015	2019	0.2204	-0.8484	1.3008	0	0.4736	0.648437
All	Men	3	Never	"smoking_status"	3	0	2001	2004	-1.4959	-3.1023	0.1372	0	-2.1137	0.067480
All	Men	3	Never	"smoking_status"	3	1	2004	2011	2.0187	1.4532	2.5873	1	8.2910	0.000034
All	Men	3	Never	"smoking_status"	3	2	2011	2014	-1.3542	-4.5455	1.9438	0	-0.9561	0.367023
